ZF-GEWE,0.9
ZF-HALE,0.54
ZF-HYNE,0.8
ZF-KOBE,358.61
ZF-KORE,6.13
ZF-LALE,0.28
ZF-LYDE,2.64
ZF-MAYE,0.76
ZF-MISE,0.29
ZF-QATE,4.07
ZF-SEKE,359.85
ZF-SMEE,351.35
ZF-SMRE,359.82
ZF-SRDE,2.71
ZF-WLDE,0.76
ZF-WUCE,359.29
ZF-YAYE,354.82
ZP-BEND,356.92
ZP-BIHA,0.38
ZP-BKBA,353.61
ZP-BUTI,357.16
ZP-CHAM,358.46
ZP-CHIM,358.1
ZP-FOPO,356.2
ZP-GABZ,354.6
ZP-GEIT,354.57
ZP-HAMA,355.11
ZP-IRIN,352.76
ZP-ISOK,355.51
ZP-JNJA,349.09
ZP-KAMZ,351.73
ZP-KASM,357.36
ZP-KATE,359.78
ZP-KBLE,0.09
ZP-KGMA,0.96
ZP-KIBO,0.7
ZP-KISH,357.08
ZP-KISZ,353.89
ZP-KMPZ,4.04
ZP-KYLA,350.45
ZP-LAEL,351.54
ZP-LOSS,353.85
ZP-LWNG,355.38
ZP-MAFI,354.97
ZP-MAKA,0.16
ZP-MALE,0.41
ZP-MANS,359.01
ZP-MAUS,354.61
ZP-MGOR,354.02
ZP-MIKU,356.87
ZP-MKRE,3.99
ZP-MKUS,354.69
ZP-MLBA,176.14
ZP-MPIK,3.19
ZP-MUFZ,356.29
ZP-MWEN,1.98
ZP-NAMA,3.48
ZP-NJOM,2.48
ZP-PIGI,357.07
ZP-PNDA,1.17
ZP-ROTI,2.61
ZP-SAKA,358.34
ZP-SERJ,356.68
ZP-SHWG,352.44
ZP-SONG,352.66
ZP-SULU,357.26
ZP-SUMB,356.59
ZP-TUND,339.37
ZP-UVZA,0.07
ZP-WINO,357.99
ZT-LESE,345.27
ZU-LWND,3.97
ZV-CHAA,5.33
ZV-KALA,358.71
ZV-KARA,3.78
ZV-KASA,2.58
ZV-KIPA,356.75
ZV-KISA,1.16
ZV-KOLA,358.96
ZV-LAEA,2.91
ZV-NAMA,0.92
ZV-NEMA,6.47
ZV-NINA,5.47
ZV-SITA,0.7
ZV-SUMA,2.97
1C-AKWI,355.84
1C-ANR,356.08
1C-BHT,355.48
1C-BLS,353.78
1C-DIGR,359.84
1C-KAPD,357.27
1C-KIMU,6.89
1C-KTG,353.67
1C-MCN1,181.63
1C-MNP,355.92
1C-MOND,353.92
1C-NAK,353.57
1C-NASO,359.98
1C-NATN,355.34
1C-NAUD,353.75
1C-NDG,1.47
1C-RGO,179.46
1C-SIL,355.85
1C-SLS,359.01
1C-TOR1,176.33
1C-VWP,357.11
3D-MM01,0.62
3D-MM02,2.78
3D-MM03,358.41
3D-MM04,16.90
3D-MM05,4.03
3D-MM06,3.97
3D-MM07,359.81
3D-MM08,8.70
3D-MM09,359.16
3D-MM10,12.07
3D-MM11,1.54
3D-MM12,12.12
3D-MM13,8.76
3D-MM14,357.58
3D-MM15,3.83
8A-AIAI,332.06
8A-AROB,353.82
8A-ARON,354.89
8A-BAHE,357.71
8A-GAMM,352.57
8A-HAO,25.37
8A-HELM,328.53
8A-HOCH,356.30
8A-KANO,3.92
8A-KETS,316.45
8A-MALT,296.95
8A-MARI,343.13
8A-OKAM,350.51
8A-OMUT,317.69
8A-OTJO,31.42
8A-SOLI,334.04
8A-WAND,349.39
8A-WEWE,2.40
AF-CRLN,352.83
AF-GRHM,345.57
AF-RUDU,350.78
AF-SNKL,352.25
BX-BROLN,0.98
BX-CKGRV,352.40
BX-GMARE,359.71
BX-GRTLG,3.36
BX-KDWAN,358.81
BX-KGCAE,358.23
BX-KHWEE,346.63
BX-KOOLE,347.26
BX-KSANE,355.26
BX-LKGWB,133.52
BX-LPHEP,356.89
BX-MAKGR,0.34
BX-MREMI,1.62
BX-PHDHD,1.60
BX-QNGWA,350.81
BX-SKOMA,358.96
BX-XAUDM,350.73
ES-EOSO,5.95
II-SACV,346.59
IU-KOWA,359.24
NR-NE201,359.20
NR-NE202,14.46
NR-NE203,348.03
NR-NE204,358.88
NR-NE205,339.43
NR-NE206,355.24
NR-NE207,352.19
NR-NE208,346.01
NR-NE209,351.41
NR-NE210,2.63
NR-NE211,357.55
NR-NE212,356.48
NR-NE213,358.39
NR-NE214,357.72
NR-NE216,3.24
NR-NE217,359.53
NR-NE218,345.02
NR-NE219,0.25
NR-NE220,356.00
NR-NE221,2.47
XW-AMDT,1.80
XW-KABG,5.19
XW-KITG,359.78
XW-KOTD,354.18
XW-KUMI,0.09
XW-LIRA,357.13
XW-NAPK,3.50
Y6-ADEP,7.53
Y6-AJEE,2.46
Y6-ANOL,3.96
Y6-ASSE,3.30
Y6-BEKO,4.01
Y6-BESH,0.74
Y6-BETI,357.68
Y6-BRRR,355.77
Y6-CHEF,4.75
Y6-CHKA,0.78
Y6-CORB,12.16
Y6-DORE,352.73
Y6-FINH,7.67
Y6-GALU,358.22
Y6-GOND,1.76
Y6-GRIM,5.95
Y6-GULA,5.33
Y6-HABU,3.25
Y6-HAWA,2.34
Y6-HURT,6.12
Y6-ITTE,359.96
Y6-JIMA,5.99
Y6-JIRE,12.09
Y6-KADO,354.33
Y6-MILA,5.60
Y6-ODAS,357.71
Y6-OGOL,20.89
Y6-OHIT,357.67
Y6-POWR,0.78
Y6-SAGU,2.85
Y6-SANK,0.71
