net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km
XJ,LN16,-2.621,36.465,YB,AT06,39.673,35.666,5698,4683.752
II,SUR,-32.38,20.812,XB,CM29,9.347,13.385,5148,4684.649
XA,SA10,-30.972,23.914,IU,FURI,8.895,38.68,2376,4684.692
Y6,SANK,7.198,38.271,IU,KOWA,14.497,-4.014,2244,4686.239
XB,CM06,2.385,11.268,IU,ANTO,39.868,32.793,6314,4686.321
II,RAYN,23.522,45.503,IU,LSZ,-15.278,28.188,42911,4687.658
II,ASCN,-7.933,-14.36,AF,KTWE,-12.814,28.209,13189,4687.768
Y6,AJEE,7.26,38.303,IU,KOWA,14.497,-4.014,2156,4688.063
XJ,LN16,-2.621,36.465,YB,AT01,39.724,36.711,5687,4688.769
IU,KOWA,14.497,-4.014,IU,FURI,8.895,38.68,15400,4688.982
XJ,LL66,-2.612,35.484,YB,AT01,39.724,36.711,5753,4689.385
1C,DIGR,-0.096,35.985,IU,KOWA,14.497,-4.014,1617,4690.154
II,MSEY,-4.674,55.479,XA,SA05,-32.605,21.535,2332,4690.912
1C,MNP,-0.218,35.947,IU,KOWA,14.497,-4.014,2552,4691.275
XJ,KEN1,-1.941,36.693,KO,BALB,39.64,27.88,5522,4691.375
II,ASCN,-7.933,-14.36,AF,SWZ,-27.182,25.332,15928,4691.428
YB,AT35,37.673,35.877,IU,KOWA,14.497,-4.014,2673,4691.8
II,ASCN,-7.933,-14.36,XA,SA45,-24.879,26.164,4345,4691.995
YB,AT67,36.952,36.248,IU,KOWA,14.497,-4.014,2673,4692.751
XJ,LL66,-2.612,35.484,YB,AT19,39.735,33.581,5753,4692.963
YB,AT48,36.619,36.414,IU,KOWA,14.497,-4.014,2673,4693.394
IU,LSZ,-15.278,28.188,XW,DEMT,17.727,55.073,2431,4693.665
