Network,Station,Latitude,Longitude,In_africa,connCnt,Orientation,CCF
ES,EOSO,28.072,-15.553,1,1093,2,1
G,ATD,11.53,42.847,1,1196,1,1
G,EVO,38.532,-8.013,0,14,1,1
G,FOMA,-24.9757,46.9789,0,599,1,1
G,MBO,14.392,-16.9555,1,1210,1,1
G,RER,-21.1712,55.7399,0,861,1,1
G,TAM,22.7915,5.5284,1,1305,1,1
GE,APE,34.9777,24.8859,0,136,1,1
GE,APEZ,34.9777,24.8859,0,86,1,1
GE,BGIO,31.7219,35.0877,0,39,1,1
GE,CART,37.5868,-1.0012,0,220,1,1
GE,CSS,34.9611,33.331,0,192,1,1
GE,DAMY,14.5725,44.3917,0,211,1,1
GE,EIL,29.6699,34.9512,0,294,1,1
GE,FODE,35.3797,24.9576,0,86,1,1
GE,GHAR,32.1224,13.0885,1,81,1,1
GE,GVD,34.8392,24.0873,0,136,1,1
GE,ISP,37.8433,30.5093,0,223,1,1
GE,JER,31.7719,35.1972,0,175,1,1
GE,KMBO,-1.1268,37.2523,1,375,1,1
GE,KSDI,33.192,35.659,0,100,1,1
GE,LAST,35.1611,25.4786,0,65,1,1
GE,MAHO,39.8959,4.2665,0,139,1,1
GE,MALT,38.3134,38.4273,0,131,1,1
GE,MELI,35.2899,-2.9392,1,282,1,1
GE,MRNI,33.1178,35.392,0,130,1,1
GE,NAI,-1.2739,36.8037,1,28,1,1
GE,SANT,36.371,25.459,0,199,1,1
GE,SELV,37.2383,-3.7277,0,71,1,1
GE,SFS,36.4656,-6.2055,0,120,1,1
GE,SFUC,36.637,-6.175,0,139,1,1
GE,SKD,35.412,23.928,0,157,1,1
GE,SOCY,12.187,53.9874,0,277,1,1
GE,ZKR,35.1147,26.217,0,67,1,1
GT,BGCA,5.1764,18.4242,1,254,1,1
GT,BOSA,-28.6141,25.2555,1,1274,1,1
GT,DBIC,6.6702,-4.8566,1,1201,1,1
GT,LBTB,-25.0151,25.5966,1,1257,1,1
GY,A22,37.9293,58.1125,0,7,1,1
GY,AH,37.9293,58.1125,0,27,1,1
GY,B32,37.9293,58.1125,0,7,1,1
GY,BH,37.9293,58.1125,0,27,1,1
GY,C22,37.9293,58.1125,0,7,1,1
GY,CH,37.9293,58.1125,0,27,1,1
GY,D32,37.9293,58.1125,0,7,1,1
GY,DH,37.9293,58.1125,0,27,1,1
GY,E22,37.9293,58.1125,0,7,1,1
GY,EH,37.9293,58.1125,0,27,1,1
GY,F32,37.9293,58.1125,0,7,1,1
GY,FH,37.9293,58.1125,0,27,1,1
GY,G22,37.9293,58.1125,0,7,1,0
GY,GH,37.9293,58.1125,0,0,1,0
GY,H32,37.9293,58.1125,0,7,1,1
GY,HH,37.9293,58.1125,0,0,1,0
GY,NH,37.9293,58.1125,0,7,1,0
GY,ORGH,37.9293,58.1125,0,7,1,1
GY,ORH,37.9293,58.1125,0,27,1,1
GY,SEH,37.9293,58.1125,0,7,1,1
GY,SWH,37.9293,58.1125,0,7,1,1
HL,ARG,36.2136,28.1212,0,552,1,1
HL,ITM,37.1787,21.9252,0,603,1,1
HL,KEK,39.7127,19.7962,0,553,1,1
II,ABKT,37.9304,58.1189,0,642,1,1
II,ABPO,-19.018,47.229,0,638,1,1
II,ASCN,-7.9327,-14.3601,0,854,1,1
II,MBAR,-0.6019,30.7382,1,1035,1,1
II,MSEY,-4.6737,55.4792,0,768,1,1
II,RAYN,23.5225,45.5032,0,738,1,1
II,SACV,14.97,-23.609,1,995,2,1
II,SUR,-32.3797,20.8117,1,1264,1,1
IP,MTOR,28.4948,-9.8487,1,270,1,1
IU,AAE,9.0292,38.7656,1,41,0,1
IU,ANTO,39.868,32.7934,0,457,1,1
IU,FURI,8.8952,38.6798,1,1241,1,1
IU,KMBO,-1.1271,37.2525,1,1251,1,1
IU,KOWA,14.4967,-4.014,1,619,2,1
IU,LSZ,-15.2779,28.1882,1,1224,1,1
IU,MACI,28.2502,-16.5082,0,605,1,1
IU,MSKU,-1.6557,13.6116,1,479,1,1
IU,NAI,-1.2739,36.8037,1,39,1,1
IU,PAB,39.5446,-4.3499,0,863,1,1
IU,TBT,28.6794,-17.9145,0,37,1,1
IU,TOL,39.8814,-4.0485,0,5,1,1
IU,TSUM,-19.2022,17.5838,1,776,1,1
KO,BALB,39.64,27.88,0,436,1,1
KO,BNN,38.8522,35.8472,0,220,1,1
KO,DKL,39.0713,26.9053,0,0,1,0
KO,ELL,36.7483,29.9085,0,461,1,1
KO,GAZ,37.1722,37.2097,0,458,1,1
KO,GURO,38.5509,42.0322,0,460,1,1
KO,SIRT,37.501,42.4392,0,431,1,1
KW,MIB,29.8032,47.3388,0,246,1,1
LX,GGNV,38.7185,-9.1505,0,567,1,1
LX,MESJ,37.8395,-8.2199,0,560,1,1
LX,MORF,37.3043,-8.6527,0,567,1,1
MN,AIO,37.9712,15.233,0,65,1,1
MN,CEL,38.2603,15.8939,0,663,1,1
MN,CLTB,37.578,13.216,0,668,1,1
MN,CUC,39.993,15.815,0,493,1,1
MN,GFA,34.338,9.073,1,39,1,1
MN,IDI,35.288,24.89,0,772,1,1
MN,KEG,29.9275,31.8292,1,174,1,1
MN,MDT,32.817,-4.614,1,114,1,1
MN,MEB,36.303,2.73,1,13,1,1
MN,RTC,33.9881,-6.8569,1,1008,1,1
MN,TIP,39.1794,16.7583,0,680,1,1
MN,VAE,37.469,14.3533,0,77,1,1
MN,VSL,39.496,9.378,0,805,1,1
MN,WDD,35.8373,14.5242,0,786,1,1
NJ,AWK,6.243,7.112,1,0,0,0
NJ,IFE,7.55,4.547,1,209,0,1
NJ,KAD,10.435,7.6414,1,197,0,1
NJ,NSU,6.867,7.417,1,221,0,1
NJ,TORO,10.986,8.118,1,473,1,1
NR,NE201,-24.515341,23.932789,1,410,2,1
NR,NE202,-24.11351,21.782303,1,398,2,1
NR,NE203,-22.993059,20.195551,1,292,2,1
NR,NE204,-18.53956,21.338223,1,236,2,1
NR,NE205,-18.62088,23.500484,1,162,2,1
NR,NE206,-17.800171,25.161894,1,178,2,1
NR,NE207,-19.52956,21.174,1,172,2,1
NR,NE208,-21.9464,25.446911,1,354,2,1
NR,NE209,-21.403549,23.771767,1,211,2,1
NR,NE210,-21.36191,21.215712,1,169,2,1
NR,NE211,-22.853821,22.206787,1,409,2,1
NR,NE212,-23.38039,24.660793,1,392,2,1
NR,NE213,-25.475531,22.857294,1,409,2,0
NR,NE214,-19.389299,22.162458,1,140,2,1
NR,NE215,-18.78417,25.196014,1,99,0,1
NR,NE216,-20.195681,24.537193,1,292,2,1
NR,NE217,-21.09967,27.33424,1,180,2,1
NR,NE218,-20.562851,26.21785,1,401,2,1
NR,NE219,-22.56967,27.446815,1,143,2,1
NR,NE220,-23.363029,25.859613,1,409,2,1
NR,NE221,-25.81185,24.800846,1,293,2,1
PM,PESTR,38.8672,-7.5902,0,639,1,1
PM,PFVI,37.1328,-8.8268,0,600,1,1
PM,PMOZ,32.823,-17.1972,0,601,1,1
PM,PVAQ,37.4037,-7.7173,0,642,1,1
TT,TATN,32.5787,10.5292,1,443,1,1
WM,CART,37.5868,-1.0012,0,119,1,1
WM,MAHO,39.8959,4.2665,0,124,1,1
XA,SA01,-34.2945,19.246,1,118,1,1
XA,SA02,-33.7351,20.2663,1,90,1,1
XA,SA03,-33.6619,21.3354,1,90,1,1
XA,SA04,-32.8505,19.6206,1,91,1,1
XA,SA05,-32.605,21.5346,1,90,1,1
XA,SA07,-31.9776,20.2262,1,119,1,1
XA,SA08,-31.9103,22.0729,1,119,1,1
XA,SA09,-30.9221,22.9861,1,90,1,1
XA,SA10,-30.9724,23.9136,1,91,1,1
XA,SA11,-29.965,20.9466,1,88,1,1
XA,SA12,-29.8486,22.2533,1,119,1,1
XA,SA13,-29.9788,23.1396,1,119,1,1
XA,SA139,-25.8519,26.2662,1,101,1,1
XA,SA14,-29.8682,24.0226,1,93,1,1
XA,SA15,-29.9038,25.0323,1,93,1,1
XA,SA155,-22.8786,28.3402,1,91,1,1
XA,SA16,-28.9503,22.1951,1,87,1,1
XA,SA169,-22.2623,29.2134,1,117,1,1
XA,SA17,-28.9321,23.2257,1,119,1,1
XA,SA18,-28.6328,24.3056,1,117,1,1
XA,SA19,-28.9056,24.8328,1,90,1,1
XA,SA20,-29.0221,26.1953,1,93,1,1
XA,SA22,-27.9662,22.0091,1,87,1,1
XA,SA23,-27.9304,23.4046,1,119,1,1
XA,SA24,-27.8833,24.2365,1,119,1,1
XA,SA25,-27.8459,25.1259,1,120,1,1
XA,SA26,-27.5456,26.1803,1,91,1,1
XA,SA27,-27.8625,27.2943,1,92,1,1
